Server,Server Name,Name Length,Operating System,ImageName,Storage Account,subnet,Availability Set,OS Disk in GBs (VMWare),Data Disk in GBs (VMWware),Azure Instance Type,VM Size Code
Monitoring Server 03 (New Relic),POC-EUS-Monitor03,17,Linux,CentOS73,igloovmstoragestd,biz,None,20,None,A1v2,Standard_A1_v2
Kafka Node 01,POC-EUS-Kafka01,15,Linux,CentOS74,igloovmstoragestd,biz,None,20,80,A2mv2,Standard_A2m_v2
Kafka Node 02,POC-EUS-Kafka02,15,Linux,CentOS75,igloovmstoragestd,biz,None,20,80,A2mv2,Standard_A2m_v2
Kafka Node 03,POC-EUS-Kafka03,15,Linux,CentOS76,igloovmstoragestd,biz,None,20,80,A2mv2,Standard_A2m_v2
Redis Node 01,POC-EUS-Redis01,15,Linux,CentOS77,igloovmstoragestd,biz,None,20,50,A2mv2,Standard_A2m_v2
Redis Node 02,POC-EUS-Redis02,15,Linux,CentOS78,igloovmstoragestd,biz,None,20,50,A2mv2,Standard_A2m_v2
Redis Node 03,POC-EUS-Redis03,15,Linux,CentOS79,igloovmstoragestd,biz,None,20,50,A2mv2,Standard_A2m_v2
Solr Node 01,POC-EUS-SOL01,13,Linux,CentOS80,igloovmstoragestd,biz,None,16,80,A2mv2,Standard_A2m_v2
Solr Node 02,POC-EUS-SOL02,13,Linux,CentOS81,igloovmstoragestd,biz,None,16,80,A2mv2,Standard_A2m_v2
Solr Node 03,POC-EUS-SOL03,13,Linux,CentOS82,igloovmstoragestd,biz,None,16,80,A2mv2,Standard_A2m_v2
Deploy Server - Linux,POC-EUS-Deploy-Linux,20,Linux,CentOS83,igloovmstoragestd,mgmt,None,20,50,A2v2,Standard_A2_v2
Kafka Management Server,POC-EUS-Kafka-Man,17,Linux,CentOS84,igloovmstoragestd,mgmt,None,20,None,A2v2,Standard_A2_v2
SMTP Server 01,POC-EUS-SMTP01,14,Linux,CentOS85,igloovmstoragestd,biz,None,40,None,A2v2,Standard_A2_v2
SMTP Server 02,POC-EUS-SMTP02,14,Linux,CentOS86,igloovmstoragestd,biz,None,40,None,A2v2,Standard_A2_v2
SPAM Server 01,POC-EUS-SPAM01,14,Linux,CentOS87,igloovmstoragestd,biz,None,40,None,A2v2,Standard_A2_v2
SPAM Server 02,POC-EUS-SPAM02,14,Linux,CentOS88,igloovmstoragestd,biz,None,40,None,A2v2,Standard_A2_v2
ELK Node 01,POC-EUS-ELK01,13,Linux,CentOS89,igloovmstoragestd,biz,None,20,None,A4mv2,Standard_A4m_v2
ELK Node 02,POC-EUS-ELK02,13,Linux,CentOS90,igloovmstoragestd,biz,None,20,None,A4mv2,Standard_A4m_v2
ELK Node 03,POC-EUS-ELK03,13,Linux,CentOS91,igloovmstoragestd,biz,None,20,None,A4mv2,Standard_A4m_v2
Domain Controller 01,POC-EUS-DC01,12,Windows,Win2012R2,igloovmstoragestd,mgmt,None,40,None,D1v2,Standard_D1_v2
Domain Controller 02,POC-EUS-DC02,12,Windows,Win2012R2,igloovmstoragestd,mgmt,None,40,None,D1v2,Standard_D1_v2
Certificiate Authority,POC-EUS-CA,10,Windows,Win2012R2,igloovmstoragestd,mgmt,None,40,None,D1v2,Standard_D1_v2
FTP,POC-EUS-FTP,11,Windows,Win2012R2,igloovmstoragestd,biz,None,40,300,D1v2,Standard_D1_v2
Cron Server,POC-EUS-CROn,12,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D1v2,Standard_D1_v2
Datafeeds Server 01,POC-EUS-feed01,14,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D1v2,Standard_D1_v2
Datafeeds Server 02,POC-EUS-feed02,14,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D1v2,Standard_D1_v2
DFS Server 01,POC-EUS-DFS01,13,Windows,Win2012R2,igloovmstoragestd,biz,None,40,None,D1v2,Standard_D1_v2
DFS Server 02,POC-EUS-DFS02,13,Windows,Win2012R2,igloovmstoragestd,biz,None,40,None,D1v2,Standard_D1_v2
Diff Server,POC-EUS-DIFF,12,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D1v2,Standard_D1_v2
ICS Server 01,POC-EUS-ICS01,13,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D1v2,Standard_D1_v2
ICS Server 02,POC-EUS-ICS02,13,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D1v2,Standard_D1_v2
Internal Web Services 01 (ie. CCS),POC-EUS-WServ01,15,Windows,Win2012R2,igloovmstoragestd,biz,None,40,None,D1v2,Standard_D1_v2
Internal Web Services 02 (ie. CCS),POC-EUS-WServ02,15,Windows,Win2012R2,igloovmstoragestd,biz,None,40,None,D1v2,Standard_D1_v2
Mobile Data Processor Server 01,POC-EUS-Mob01,13,Windows,Win2012R2,igloovmstoragestd,biz,None,40,None,D1v2,Standard_D1_v2
Mobile Data Processor Server 01,POC-EUS-Mob02,13,Windows,Win2012R2,igloovmstoragestd,biz,None,40,None,D1v2,Standard_D1_v2
Monitoring Server 02 (Solarwinds),POC-EUS-mon02,13,Windows,Win2012R2,igloovmstoragestd,biz,None,40,15,D1v2,Standard_D1_v2
Monitoring Server 04 (Firewall Analyzer),POC-EUS-mon04,13,Windows,Win2012R2,igloovmstoragestd,biz,None,400,None,D1v2,Standard_D1_v2
OAuth Web Server 01,POC-EUS-OAuth01,15,Windows,Win2012R2,igloovmstoragestd,biz,None,40,None,D1v2,Standard_D1_v2
OAuth Web Server 02,POC-EUS-OAuth02,15,Windows,Win2012R2,igloovmstoragestd,biz,None,40,None,D1v2,Standard_D1_v2
RabbitMQ Cluster Node 01,POC-EUS-RMQ01,13,Windows,Win2012R2,igloovmstoragestd,biz,None,40,None,D1v2,Standard_D1_v2
RabbitMQ Cluster Node 01,POC-EUS-RMQ02,13,Windows,Win2012R2,igloovmstoragestd,biz,None,40,None,D1v2,Standard_D1_v2
SAP Server,POC-EUS-SAP,11,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D1v2,Standard_D1_v2
Admin Jumpbox,POC-EUS-Jump,12,Windows,Win2012R2,igloovmstoragestd,biz,None,135,None,D2v2,Standard_D2_v2
Deploy Server - Windows,POC-EUS-Dep-Win,15,Windows,Win2012R2,igloovmstoragestd,mgmt,None,90,None,D2v2,Standard_D2_v2
Doc Engine Server 01,POC-EUS-Doc01,13,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D2v2,Standard_D2_v2
Doc Engine Server 02,POC-EUS-Doc02,13,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D2v2,Standard_D2_v2
Web Server 01,POC-EUS-Web01,13,Windows,Win2012R2,igloovmstoragestd,web,Igloo-POC-Web-AS,60,None,D2v2,Standard_D2_v2
Web Server 02,POC-EUS-Web02,13,Windows,Win2012R2,igloovmstoragestd,web,Igloo-POC-Web-AS,60,None,D2v2,Standard_D2_v2
Web Server 03,POC-EUS-Web03,13,Windows,Win2012R2,igloovmstoragestd,web,Igloo-POC-Web-AS,60,None,D2v2,Standard_D2_v2
Web Server 04,POC-EUS-Web04,13,Windows,Win2012R2,igloovmstoragestd,web,Igloo-POC-Web-AS,60,None,D2v2,Standard_D2_v2
Windows Update Services (WSUS),POC-EUS-WSUS,12,Windows,Win2012R2,igloovmstoragestd,mgmt,None,60,200,D2v2,Standard_D2_v2
Video Engine Server 01,POC-EUS-Vid01,13,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,F4,Standard_F4
Video Engine Server 02,POC-EUS-Vid02,13,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,F4,Standard_F4
Monitoring Server 01 (PRTG),POC-EUS-mon01,13,Windows,Win2012R2,igloovmstorageprem,biz,None,40,2048,F8,Standard_F8
